page,section_title,text
Cl,Applications,"Sodium chloride is the most common chlorine compound, and is the main source of chlorine for the demand by the chemical industry. About 15000 chlorine-containing compounds are commercially traded, including such diverse compounds as chlorinated methane, ethanes, vinyl chloride, polyvinyl chloride (PVC), aluminium trichloride for catalysis, the chlorides of magnesium, titanium, zirconium, and hafnium which are the precursors for producing the pure form of those elements.
Quantitatively, of all elemental chlorine produced, about 63% is used in the manufacture of organic compounds, and 18% in the manufacture of inorganic chlorine compounds. About 15,000 chlorine compounds are used commercially. The remaining 19% of chlorine produced is used for bleaches and disinfection products. The most significant of organic compounds in terms of production volume are 1,2-dichloroethane and vinyl chloride, intermediates in the production of PVC. Other particularly important organochlorines are methyl chloride, methylene chloride, chloroform, vinylidene chloride, trichloroethylene, perchloroethylene, allyl chloride, epichlorohydrin, chlorobenzene, dichlorobenzenes, and trichlorobenzenes. The major inorganic compounds include HCl, Cl2O, HOCl, NaClO3, AlCl3, SiCl4, SnCl4, PCl3, PCl5, POCl3, AsCl3, SbCl3, SbCl5, BiCl3, and ZnCl2."
Cl,Biological role,"The chloride anion is an essential nutrient for metabolism. Chlorine is needed for the production of hydrochloric acid in the stomach and in cellular pump functions. The main dietary source is table salt, or sodium chloride. Overly low or high concentrations of chloride in the blood are examples of electrolyte disturbances. Hypochloremia (having too little chloride) rarely occurs in the absence of other abnormalities. It is sometimes associated with hypoventilation. It can be associated with chronic respiratory acidosis. Hyperchloremia (having too much chloride) usually does not produce symptoms. When symptoms do occur, they tend to resemble those of hypernatremia (having too much sodium). Reduction in blood chloride leads to cerebral dehydration; symptoms are most often caused by rapid rehydration which results in cerebral edema. Hyperchloremia can affect oxygen transport."
Cl,Hazards,"Chlorine is a toxic gas that attacks the respiratory system, eyes, and skin. Because it is denser than air, it tends to accumulate at the bottom of poorly ventilated spaces. Chlorine gas is a strong oxidizer, which may react with flammable materials.
Chlorine is detectable with measuring devices in concentrations as low as 0.2 parts per million (ppm), and by smell at 3 ppm. Coughing and vomiting may occur at 30 ppm and lung damage at 60 ppm. About 1000 ppm can be fatal after a few deep breaths of the gas. The IDLH (immediately dangerous to life and health) concentration is 10 ppm. Breathing lower concentrations can aggravate the respiratory system and exposure to the gas can irritate the eyes. When chlorine is inhaled at concentrations greater than 30 ppm, it reacts with water within the lungs, producing hydrochloric acid (HCl) and hypochlorous acid (HOCl).
When used at specified levels for water disinfection, the reaction of chlorine with water is not a major concern for human health. Other materials present in the water may generate disinfection by-products that are associated with negative effects on human health.
In the United States, the Occupational Safety and Health Administration (OSHA) has set the permissible exposure limit for elemental chlorine at 1 ppm, or 3 mg/m3. The National Institute for Occupational Safety and Health has designated a recommended exposure limit of 0.5 ppm over 15 minutes.
In the home, accidents occur when hypochlorite bleach solutions come into contact with certain acidic drain-cleaners to produce chlorine gas. Hypochlorite bleach (a popular laundry additive) combined with ammonia (another popular laundry additive) produces chloramines, another toxic group of chemicals."
Cl,Summary,"Chlorine is a chemical element; it has symbol Cl and atomic number 17. The second-lightest of the halogens, it appears between fluorine and bromine in the periodic table and its properties are mostly intermediate between them. Chlorine is a yellow-green gas at room temperature. It is an extremely reactive element and a strong oxidising agent: among the elements, it has the highest electron affinity and the third-highest electronegativity on the revised Pauling scale, behind only oxygen and fluorine.
Chlorine played an important role in the experiments conducted by medieval alchemists, which commonly involved the heating of chloride salts like ammonium chloride (sal ammoniac) and sodium chloride (common salt), producing various chemical substances containing chlorine such as hydrogen chloride, mercury(II) chloride (corrosive sublimate), and aqua regia. However, the nature of free chlorine gas as a separate substance was only recognised around 1630 by Jan Baptist van Helmont. Carl Wilhelm Scheele wrote a description of chlorine gas in 1774, supposing it to be an oxide of a new element. In 1809, chemists suggested that the gas might be a pure element, and this was confirmed by Sir Humphry Davy in 1810, who named it after the Ancient Greek χλωρός (khlōrós, ""pale green"") because of its colour.
Because of its great reactivity, all chlorine in the Earth's crust is in the form of ionic chloride compounds, which includes table salt. It is the second-most abundant halogen (after fluorine) and twenty-first most abundant chemical element in Earth's crust. These crustal deposits are nevertheless dwarfed by the huge reserves of chloride in seawater.
Elemental chlorine is commercially produced from brine by electrolysis, predominantly in the chloralkali process. The high oxidising potential of elemental chlorine led to the development of commercial bleaches and disinfectants, and a reagent for many processes in the chemical industry. Chlorine is used in the manufacture of a wide range of consumer products, about two-thirds of them organic chemicals such as polyvinyl chloride (PVC), many intermediates for the production of plastics, and other end products which do not contain the element. As a common disinfectant, elemental chlorine and chlorine-generating compounds are used more directly in swimming pools to keep them sanitary. Elemental chlorine at high concentration is extremely dangerous, and poisonous to most living organisms. As a chemical warfare agent, chlorine was first used in World War I as a poison gas weapon.
In the form of chloride ions, chlorine is necessary to all known species of life. Other types of chlorine compounds are rare in living organisms, and artificially produced chlorinated organics range from inert to toxic. In the upper atmosphere, chlorine-containing organic molecules such as chlorofluorocarbons have been implicated in ozone depletion. Small quantities of elemental chlorine are generated by oxidation of chloride ions in neutrophils as part of an immune system response against bacteria."
Coagulation_Tests,Summary,
Coagulation_assays,Classification of blood clotting tests,"Substantially all coagulometers used in laboratory diagnostics are based on the methods of testing of the hemostasis system created more than fifty years ago. The majority of these methods are good to detect defects in one of the hemostasis components, without diagnosing other possible defects. Another problem of the actual hemostasis system diagnostics is the thrombosis prediction, i.e. sensitivity to the patient's prethrombotic state. All the diversity of clinical tests of the blood coagulation system can be divided into 2 groups: global (integral, general) tests, and «local» (specific) tests."
Coagulation_assays,Summary,"Blood clotting tests are the tests used for diagnostics of the hemostasis system.
Coagulometer is the medical laboratory analyzer used for testing of the hemostasis system. Modern coagulometers realize different methods of activation and observation of development of blood clots in blood or in blood plasma."
Coagulation_disorders,Summary,
Coagulation_factors,List of coagulation factors,"There are 13 traditional clotting factors, as named below, and other substances necessary for coagulation:"
Coagulation_factors,Physiology,"Physiology of blood coagulation is based on hemostasis, the normal bodily process that stops bleeding. Coagulation is a part of an integrated series of haemostatic reactions, involving plasma, platelet, and vascular components.
Hemostasis consists of four main stages:

Vasoconstriction (vasospasm or vascular spasm): Here, this refers to contraction of smooth muscles in the tunica media layer of endothelium (blood vessel wall).
Activation of platelets and platelet plug formation:
Platelet activation: Platelet activators, such as platelet activating factor and thromboxane A2, activate platelets in the bloodstream, leading to attachment of platelets' membrane receptors (e.g. glycoprotein IIb/IIIa) to extracellular matrix proteins (e.g. von Willebrand factor) on cell membranes of damaged endothelial cells and exposed collagen at the site of injury.
Platelet plug formation: The adhered platelets aggregate and form a temporary plug to stop bleeding. This process is often called ""primary hemostasis"".
Coagulation cascade: It is a series of enzymatic reactions that lead to the formation of a stable blood clot. The endothelial cells release substances like tissue factor, which triggers the extrinsic pathway of the coagulation cascade. This is called as ""secondary hemostasis"".
Fibrin clot formation: Near the end of the extrinsic pathway, after thrombin completes conversion of fibrinogen into fibrin, factor XIIIa (plasma transglutaminase; activated form of fibrin-stabilizing factor) promotes fibrin cross-linking, and subsequent stabilization of fibrin, leading to the formation of a fibrin clot (final blood clot), which temporarily seals the wound to allow wound healing until its inner part is dissolved by fibrinolytic enzymes, while the clot's outer part is shed off.
After the fibrin clot is formed, clot retraction occurs and then clot resolution starts, and these two process are together called ""tertiary hemostasis"". Activated platelets contract their internal actin and myosin fibrils in their cytoskeleton, which leads to shrinkage of the clot volume. Plasminogen activators, such as tissue plasminogen activator (t-PA), activate plasminogen into plasmin, which promotes lysis of the fibrin clot; this restores the flow of blood in the damaged/obstructed blood vessels."
Coagulation_factors,Medical assessment,"Numerous medical tests are used to assess the function of the coagulation system:

Common: aPTT, PT (also used to determine INR), fibrinogen testing (often by the Clauss fibrinogen assay), platelet count, platelet function testing (often by PFA-100), thrombodynamics test.
Other: TCT, bleeding time, mixing test (whether an abnormality corrects if the patient's plasma is mixed with normal plasma), coagulation factor assays, antiphospholipid antibodies, D-dimer, genetic tests (e.g. factor V Leiden, prothrombin mutation G20210A), dilute Russell's viper venom time (dRVVT), miscellaneous platelet function tests, thromboelastography (TEG or Sonoclot), euglobulin lysis time (ELT).
The contact activation (intrinsic) pathway is initiated by activation of the contact activation system, and can be measured by the activated partial thromboplastin time (aPTT) test.
The tissue factor (extrinsic) pathway is initiated by release of tissue factor (a specific cellular lipoprotein), and can be measured by the prothrombin time (PT) test. PT results are often reported as ratio (INR value) to monitor dosing of oral anticoagulants such as warfarin.
The quantitative and qualitative screening of fibrinogen is measured by the thrombin clotting time (TCT). Measurement of the exact amount of fibrinogen present in the blood is generally done using the Clauss fibrinogen assay. Many analysers are capable of measuring a ""derived fibrinogen"" level from the graph of the Prothrombin time clot.
If a coagulation factor is part of the contact activation or tissue factor pathway, a deficiency of that factor will affect only one of the tests: Thus hemophilia A, a deficiency of factor VIII, which is part of the contact activation pathway, results in an abnormally prolonged aPTT test but a normal PT test. Deficiencies of common pathway factors prothrombin, fibrinogen, FX, and FV will prolong both aPTT and PT. If an abnormal PT or aPTT is present, additional testing will occur to determine which (if any) factor is present as aberrant concentrations.
Deficiencies of fibrinogen (quantitative or qualitative) will prolong PT, aPTT, thrombin time, and reptilase time."
Coagulation_factors,Role in disease,"Coagulation defects may cause hemorrhage or thrombosis, and occasionally both, depending on the nature of the defect."
Coagulation_factors,Other species,"All mammals have an extremely closely related blood coagulation process, using a combined cellular and serine protease process. It is possible for any mammalian coagulation factor to ""cleave"" its equivalent target in any other mammal. The only non-mammalian animal known to use serine proteases for blood coagulation is the horseshoe crab. Exemplifying the close links between coagulation and inflammation, the horseshoe crab has a primitive response to injury, carried out by cells known as amoebocytes (or hemocytes) which serve both hemostatic and immune functions."
Coagulation_factors,Summary,"Coagulation, also known as clotting, is the process by which blood changes from a liquid to a gel, forming a blood clot. It results in hemostasis, the cessation of blood loss from a damaged vessel, followed by repair. The process of coagulation involves activation, adhesion and aggregation of platelets, as well as deposition and maturation of fibrin.
Coagulation begins almost instantly after an injury to the endothelium that lines a blood vessel. Exposure of blood to the subendothelial space initiates two processes: changes in platelets, and the exposure of subendothelial platelet tissue factor to coagulation factor VII, which ultimately leads to cross-linked fibrin formation. Platelets immediately form a plug at the site of injury; this is called primary hemostasis. Secondary hemostasis occurs simultaneously: additional coagulation factors beyond factor VII (listed below) respond in a cascade to form fibrin strands, which strengthen the platelet plug.
Coagulation is highly conserved throughout biology. In all mammals, coagulation involves both cellular components (platelets) and proteinaceous components (coagulation or clotting factors). The pathway in humans has been the most extensively researched and is the best understood. Disorders of coagulation can result in problems with hemorrhage, bruising, or thrombosis."
Coagulation_profile,Summary,
Coagulation_screen,Process,"The basic screen consists of:

platelet count
bleeding time for platelet function
PR (prothrombin ratio) for the tissue factor pathway (extrinsic pathway)
aPTT (Activated Partial Thromboplastin time) for the contact activation pathway (intrinsic pathway)
TCT or fibrinogen assay for final common pathway (THROMBIN TIME)
Two other tests are regularly performed at the same time:

blood count, to detect other hematological abnormalities
liver function tests to exclude liver disease as a cause of coagulation factor deficiency
These tests may miss mild abnormalities but they will detect major disorders. The results of these screening tests, in conjunction with the clinical history (especially bleeding history), will then direct the selection of further, more detailed and specific coagulation tests, such as:

specific factor assays, like fibrin degradation products, D-dimer, thrombin time, platelet aggregation, or
specific factor inhibitor assays, like Protein C, TFPI, Antithrombin etc.


== References =="
Coagulation_screen,Summary,"A coagulation screen is a combination of screening laboratory tests, designed to provide rapid non-specific information, which allows an initial broad categorization of haemostatic problems."
Complete blood count,Purpose,"Blood is composed of a fluid portion, called plasma, and a cellular portion that contains red blood cells, white blood cells and platelets. The complete blood count evaluates the three cellular components of blood. Some medical conditions, such as anemia or thrombocytopenia, are defined by marked increases or decreases in blood cell counts. Changes in many organ systems may affect the blood, so CBC results are useful for investigating a wide range of conditions. Because of the amount of information it provides, the complete blood count is one of the most commonly performed medical laboratory tests.
The CBC is often used to screen for diseases as part of a medical assessment. It is also called for when a healthcare provider suspects a person has a disease that affects blood cells, such as an infection, a bleeding disorder, or some cancers. People who have been diagnosed with disorders that may cause abnormal CBC results or who are receiving treatments that can affect blood cell counts may have a regular CBC performed to monitor their health, and the test is often performed each day on people who are hospitalized. The results may indicate a need for a blood or platelet transfusion.
The complete blood count has specific applications in many medical specialties. It is often performed before a person undergoes surgery to detect anemia, ensure that platelet levels are sufficient, and screen for infection, as well as after surgery, so that blood loss can be monitored. In emergency medicine, the CBC is used to investigate numerous symptoms, such as  fever, abdominal pain, and shortness of breath, and to assess bleeding and trauma. Blood counts are closely monitored in people undergoing chemotherapy or radiation therapy for cancer, because these treatments suppress the production of blood cells in the bone marrow and can produce severely low levels of white blood cells, platelets and hemoglobin. Regular CBCs are necessary for people taking some psychiatric drugs, such as clozapine and carbamazepine, which in rare cases can cause a life-threatening drop in the number of white blood cells (agranulocytosis). Because anemia during pregnancy can result in poorer outcomes for the mother and her baby, the complete blood count is a routine part of prenatal care;  and in newborn babies, a CBC may be needed to investigate jaundice or to count the number of immature cells in the white blood cell differential, which can be an indicator of sepsis.
The complete blood count is an essential tool of hematology, which is the study of the cause, prognosis, treatment, and prevention of diseases related to blood. The results of the CBC and smear examination reflect the functioning of the hematopoietic system—the organs and tissues involved in the production and development of blood cells, particularly the bone marrow. For example, a low count of all three cell types (pancytopenia) can indicate that blood cell production is being affected by a marrow disorder, and a bone marrow examination can further investigate the cause. Abnormal cells on the blood smear might indicate acute leukemia or lymphoma, while an abnormally high count of neutrophils or lymphocytes, in combination with indicative symptoms and blood smear findings, may raise suspicion of a myeloproliferative disorder or lymphoproliferative disorder. Examination of the CBC results and blood smear can help to distinguish between causes of anemia, such as nutritional deficiencies, bone marrow disorders, acquired hemolytic anemias and inherited conditions like sickle cell anemia and thalassemia.
The reference ranges for the complete blood count represent the range of results found in 95% of apparently healthy people. By definition, 5% of results will always fall outside this range, so some abnormal results may reflect natural variation rather than signifying a medical issue. This is particularly likely if such results are only slightly outside the reference range, if they are consistent with previous results, or if there are no other related abnormalities shown by the CBC. When the test is performed on a relatively healthy population, the number of clinically insignificant abnormalities may exceed the number of results that represent disease. For this reason, professional organizations in the United States, United Kingdom and Canada recommend against pre-operative CBC testing for low-risk surgeries in individuals without relevant medical conditions. Repeated blood draws for hematology testing in hospitalized patients can contribute to hospital-acquired anemia and may result in unnecessary transfusions."
Complete blood count,Procedure,"The sample is collected by drawing blood into a tube containing an anticoagulant—typically EDTA—to stop its natural clotting. The blood is usually taken from a vein, but when this is difficult it may be collected from capillaries by a fingerstick, or by a heelprick in babies. Testing is typically performed on an automated analyzer, but manual techniques such as a blood smear examination or manual hematocrit test can be used to investigate abnormal results. Cell counts and hemoglobin measurements are performed manually in laboratories lacking access to automated instruments."
Complete blood count,Included tests,"The CBC measures the amounts of platelets and red and white blood cells, along with the hemoglobin and hematocrit values. Red blood cell indices—MCV, MCH and MCHC—which describe the size of red blood cells and their hemoglobin content, are reported along with the red blood cell distribution width (RDW), which measures the amount of variation in the sizes of red blood cells. A white blood cell differential, which enumerates the different types of white blood cells, may be performed, and a count of immature red blood cells (reticulocytes) is sometimes included."
Complete blood count,Reference ranges,"The complete blood count is interpreted by comparing the output to reference ranges, which represent the results found in 95% of apparently healthy people. Based on a statistical normal distribution, the tested samples' ranges vary with sex and age.  
On average, adult females have lower hemoglobin, hematocrit, and red blood cell count values than males; the difference lessens, but is still present, after menopause. CBC results for children and newborn babies differ from those of adults. Newborns' hemoglobin, hematocrit, and red blood cell count are extremely high to compensate for low oxygen levels in the womb and the high proportion of fetal hemoglobin, which is less effective at delivering oxygen to tissues than mature forms of hemoglobin, inside their red blood cells. The MCV is also increased, and the white blood cell count is elevated with a preponderance of neutrophils. The red blood cell count and related values begin to decline shortly after birth, reaching their lowest point at about two months of age and increasing thereafter. The red blood cells of older infants and children are smaller, with a lower MCH, than those of adults. In the pediatric white blood cell differential, lymphocytes often outnumber neutrophils, while in adults neutrophils predominate.
Other differences between populations may affect the reference ranges: for example, people living at higher altitudes have higher hemoglobin, hematocrit, and RBC results, and people of African heritage have lower white blood cell counts on average. The type of analyzer used to run the CBC affects the reference ranges as well. Reference ranges are therefore established by individual laboratories based on their own patient populations and equipment."
Complete blood count,Limitations,"Some medical conditions or problems with the blood sample may produce inaccurate  results. If the sample is visibly clotted, which can be caused by poor phlebotomy technique, it is unsuitable for testing, because the platelet count will be falsely decreased and other results may be abnormal. Samples stored at room temperature for several hours may give falsely high readings for MCV (mean corpuscular volume), because red blood cells swell as they absorb water from the plasma; and platelet and white blood cell differential results may be inaccurate in aged specimens, as the cells degrade over time.

Samples drawn from individuals with very high levels of bilirubin or lipids in their plasma (referred to as an icteric sample or a lipemic sample, respectively) may show falsely high readings for hemoglobin, because these substances change the colour and opacity of the sample, which interferes with hemoglobin measurement. This effect can be mitigated by replacing the plasma with saline.
Some individuals produce an antibody that causes their platelets to form clumps when their blood is drawn into tubes containing EDTA, the anticoagulant typically used to collect CBC samples. Platelet clumps may be counted as single platelets by automated analyzers, leading to a falsely decreased platelet count. This can be avoided by using an alternative anticoagulant such as sodium citrate or heparin.
Another antibody-mediated condition that can affect complete blood count results is red blood cell agglutination. This phenomenon causes red blood cells to clump together because of antibodies bound to the cell surface. Red blood cell aggregates are counted as single cells by the analyzer, leading to a markedly decreased red blood cell count and hematocrit, and markedly elevated MCV and MCHC (mean corpuscular hemoglobin concentration). Often, these antibodies are only active at room temperature (in which case they are called cold agglutinins), and the agglutination can be reversed by heating the sample to 37 °C (99 °F). Samples from people with warm autoimmune hemolytic anemia may exhibit red cell agglutination that does not resolve on warming.
While blast and lymphoma cells can be identified in the manual differential, microscopic examination cannot reliably determine the cells' hematopoietic lineage. This information is often necessary for diagnosing blood cancers. After abnormal cells are identified, additional techniques such as immunophenotyping by flow cytometry can be used to identify markers that provide additional information about the cells."
Complete blood count,History,"Before automated cell counters were introduced, complete blood count tests were performed manually: white and red blood cells and platelets were counted using microscopes. The first person to publish microscopic observations of blood cells was Antonie van Leeuwenhoek, who reported on the appearance of red cells in a 1674 letter to the Proceedings of the Royal Society of London. Jan Swammerdam had described red blood cells some years earlier, but did not publish his findings at the time. Throughout the 18th and 19th centuries, improvements in microscope technology such as achromatic lenses allowed white blood cells and platelets to be counted in unstained samples.
The physiologist Karl Vierordt is credited with performing the first blood count.  His technique, published in 1852, involved aspirating a carefully measured volume of blood into a capillary tube and spreading it onto a microscope slide coated with egg white. After the blood dried, he counted every cell on the slide; this process could take more than three hours to complete. The hemocytometer, introduced in 1874 by Louis-Charles Malassez, simplified the microscopic counting of blood cells. Malassez's hemocytometer consisted of a microscope slide containing a flattened capillary tube. Diluted blood was introduced to the capillary chamber by means of a rubber tube attached to one end, and an eyepiece with a scaled grid was attached to the microscope, permitting the microscopist to count the number of cells per volume of blood. In 1877, William Gowers invented a hemocytometer with a built-in counting grid, eliminating the need to produce specially calibrated eyepieces for each microscope.

In the 1870s, Paul Ehrlich developed a staining technique using a combination of an acidic and basic dye that could distinguish different types of white blood cells and allow red blood cell morphology to be examined. Dmitri Leonidovich Romanowsky improved on this technique in the 1890s, using a mixture of eosin and aged methylene blue to produce a wide range of hues not present when either of the stains was used alone. This became the basis for Romanowsky staining, the technique still used to stain blood smears for manual review.
The first techniques for measuring hemoglobin were devised in the late 19th century, and involved visual comparisons of the colour of diluted blood against a known standard. Attempts to automate this process using spectrophotometry and colorimetry were limited by the fact that hemoglobin is present in the blood in many different forms, meaning that it could not be measured at a single wavelength. In 1920, a method to convert the different forms of hemoglobin to one stable form (cyanmethemoglobin or hemiglobincyanide) was introduced, allowing hemoglobin levels to be measured automatically. The cyanmethemoglobin method remains the reference method for hemoglobin measurement and is still used in many automated hematology analyzers.
Maxwell Wintrobe is credited with the invention of the hematocrit test. In 1929, he undertook a PhD project at the University of Tulane to determine normal ranges for red blood cell parameters, and invented a method known as the Wintrobe hematocrit. Hematocrit measurements had previously been described in the literature, but Wintrobe's method differed in that it used a large tube that could be mass-produced to precise specifications, with a built-in scale. The fraction of red blood cells in the tube was measured after centrifugation to determine the hematocrit. The invention of a reproducible method for determining hematocrit values allowed Wintrobe to define the red blood cell indices.

Research into automated cell counting began in the early 20th century. A method developed in 1928 used the amount of light transmitted through a diluted blood sample, as measured by photometry, to estimate the red blood cell count, but this proved inaccurate for samples with abnormal red blood cells. Other unsuccessful attempts, in the 1930s and 1940s, involved photoelectric detectors attached to microscopes, which would count cells as they were scanned. In the late 1940s, Wallace H. Coulter, motivated by a need for better red blood cell counting methods following the bombing of Hiroshima and Nagasaki, attempted to improve on photoelectric cell counting techniques.  His research was aided by his brother, Joseph R. Coulter, in a basement laboratory in Chicago. Their results using photoelectric methods were disappointing, and in 1948, after reading a paper relating the conductivity of blood to its red blood cell concentration, Wallace devised the Coulter principle—the theory that a cell suspended in a conductive medium generates a drop in current proportional to its size as it passes through an aperture.
That October, Wallace built a counter to demonstrate the principle. Owing to financial constraints, the aperture was made by burning a hole through a piece of cellophane from a cigarette package. Wallace filed a patent for the technique in 1949, and in 1951 applied to the Office of Naval Research to fund the development of the Coulter counter. Wallace's patent application was granted in 1953, and after improvements to the aperture and the introduction of a mercury manometer to provide precise control over sample size, the brothers founded Coulter Electronics Inc. in 1958 to market their instruments. The Coulter counter was initially designed for counting red blood cells, but with later modifications it proved effective for counting white blood cells. Coulter counters were widely adopted by medical laboratories.
The first analyzer able to produce multiple cell counts simultaneously was the Technicon SMA 4A−7A, released in 1965. It achieved this by partitioning blood samples into two channels: one for counting red and white blood cells and one for measuring hemoglobin. However, the instrument was  unreliable and difficult to maintain. In 1968, the Coulter Model S analyzer was released and gained widespread use. Similarly to the Technicon instrument, it used two different reaction chambers, one of which was used for the red cell count, and one of which was used for the white blood cell count and hemoglobin determination. The Model S also determined the mean cell volume using impedance measurements, which allowed the red blood cell indices and hematocrit to be derived. Automated platelet counts were introduced in 1970 with Technicon's Hemalog-8 instrument and were adopted by Coulter's S Plus series analyzers in 1980.
After basic cell counting had been automated, the white blood cell differential remained a challenge. Throughout the 1970s, researchers explored two methods for automating the differential count: digital image processing and flow cytometry. Using technology developed in the 1950s and 60s to automate the reading of Pap smears, several models of image processing analyzers were produced. These instruments would scan a stained blood smear to find cell nuclei, then take a higher resolution snapshot of the cell to analyze it through densitometry. They were expensive, slow, and did little to reduce workload in the laboratory because they still required blood smears to be prepared and stained, so flow cytometry-based systems became more popular, and by 1990, no digital image analyzers were commercially available in the United States or western Europe. These techniques enjoyed a resurgence in the 2000s with the introduction of more advanced image analysis platforms using artificial neural networks.
Early flow cytometry devices shot beams of light at cells in specific wavelengths and measured the resulting absorbance, fluorescence or light scatter, collecting information about the cells' features and allowing cellular contents such as DNA to be quantified. One such instrument—the Rapid Cell Spectrophotometer, developed by Louis Kamentsky in 1965 to automate cervical cytology—could generate blood cell scattergrams using cytochemical staining techniques. Leonard Ornstein, who had helped to develop the staining system on the Rapid Cell Spectrophotometer, and his colleagues later created the  first commercial flow cytometric white blood cell differential analyzer, the Hemalog D. Introduced in 1974, this analyzer used light scattering, absorbance and cell staining to identify the five normal white blood cell types in addition to ""large unidentified cells"", a classification that usually consisted of atypical lymphocytes or blast cells. The Hemalog D could count 10,000 cells in one run, a marked improvement over the manual differential. In 1981, Technicon combined the Hemalog D with the Hemalog-8 analyzer to produce the Technicon H6000, the first combined complete blood count and differential analyzer. This analyzer was unpopular with hematology laboratories because it was labour-intensive to operate, but in the late 1980s to early 1990s similar systems were widely produced by other manufacturers such as Sysmex, Abbott, Roche and Beckman Coulter."
Complete blood count,Summary,"A complete blood count (CBC), also known as a full blood count (FBC), is a set of medical laboratory tests that provide information about the cells in a person's blood. The CBC indicates the counts of white blood cells, red blood cells and platelets, the concentration of hemoglobin, and the hematocrit (the volume percentage of red blood cells). The red blood cell indices, which indicate the average size and hemoglobin content of red blood cells, are also reported, and a white blood cell differential, which counts the different types of white blood cells, may be included.
The CBC is often carried out as part of a medical assessment and can be used to monitor health or diagnose diseases. The results are interpreted by comparing them to reference ranges, which vary with sex and age. Conditions like anemia and thrombocytopenia are defined by abnormal complete blood count results. The red blood cell indices can provide information about the cause of a person's anemia such as iron deficiency and vitamin B12 deficiency, and the results of the white blood cell differential can help to diagnose viral, bacterial and parasitic infections and blood disorders like leukemia. Not all results falling outside of the reference range require medical intervention.
The CBC is usually performed by an automated hematology analyzer, which counts cells and collects information on their size and structure. The concentration of hemoglobin is measured, and the red blood cell indices are calculated from measurements of red blood cells and hemoglobin. Manual tests can be used to independently confirm abnormal results. Approximately 10–25% of samples require a manual blood smear review, in which the blood is stained and viewed under a microscope to verify that the analyzer results are consistent with the appearance of the cells and to look for abnormalities. The hematocrit can be determined manually by centrifuging the sample and measuring the proportion of red blood cells, and in laboratories without access to automated instruments, blood cells are counted under the microscope using a hemocytometer.
In 1852, Karl Vierordt published the first procedure for performing a blood count, which involved spreading a known volume of blood on a microscope slide and counting every cell. The invention of the hemocytometer in 1874 by Louis-Charles Malassez simplified the microscopic analysis of blood cells, and in the late 19th century, Paul Ehrlich and Dmitri Leonidovich Romanowsky developed techniques for staining white and red blood cells that are still used to examine blood smears. Automated methods for measuring hemoglobin were developed in the 1920s, and Maxwell Wintrobe introduced the Wintrobe hematocrit method in 1929, which in turn allowed him to define the red blood cell indices. A landmark in the automation of blood cell counts was the Coulter principle, which was patented by Wallace H. Coulter in 1953. The Coulter principle uses electrical impedance measurements to count blood cells and determine their sizes; it is a technology that remains in use in many automated analyzers. Further research in the 1970s involved the use of optical measurements to count and identify cells, which enabled the automation of the white blood cell differential."
